,"页面URL","访问次数","访客数(UV)","新访客数","新访客比率","IP数","贡献浏览量","跳出率","平均访问时长","平均访问页数",
191,"http://www.1010jiajiao.com/qx_portal/doc/738629.html","17","13","9","69.23%","14","17","100%"," 00:01:30","1",
192,"http://www.1010jiajiao.com/qx_portal/doc/874593.html","17","16","14","87.5%","16","17","100%"," 00:01:49","1",
193,"http://www.1010jiajiao.com/qx_portal/doc/644640.html","16","14","12","85.71%","14","16","100%"," 00:01:21","1",
194,"http://www.1010jiajiao.com/qx_portal/doc/596515.html","16","15","12","80%","14","19","78.57%"," 00:05:25","1.19",
195,"http://www.1010jiajiao.com/qx_portal/doc/52257.html","16","13","10","76.92%","13","18","86.67%"," 00:05:45","1.13",
196,"http://www.1010jiajiao.com/qx_portal/doc/720862.html","16","14","12","85.71%","14","16","100%"," 00:01:46","1",
197,"http://www.1010jiajiao.com/qx_portal/doc/967143.html","16","16","14","87.5%","16","16","100%"," 00:05:05","1",
198,"http://www.1010jiajiao.com/qx_portal/doc/691411.html","16","15","13","86.67%","15","19","80%"," 00:02:47","1.19",
199,"http://www.1010jiajiao.com/qx_portal/doc/661856.html","16","13","11","84.62%","13","16","100%"," 00:01:42","1",
200,"http://www.1010jiajiao.com/qx_portal/doc/126996.html","16","15","10","66.67%","15","16","100%"," 00:02:19","1",
201,"http://www.1010jiajiao.com/qx_portal/doc/679628.html","16","15","12","80%","15","16","100%"," 00:03:18","1",
202,"http://www.1010jiajiao.com/qx_portal/doc/82065.html","16","16","13","81.25%","16","17","93.75%"," 00:01:52","1.06",
203,"http://www.1010jiajiao.com/qx_portal/doc/64767.html","16","16","11","68.75%","16","18","92.31%"," 00:07:15","1.13",
204,"http://www.1010jiajiao.com/qx_portal/doc/203345.html","16","15","14","93.33%","15","19","81.25%"," 00:06:17","1.19",
205,"http://www.1010jiajiao.com/qx_portal/doc/588549.html","16","14","13","92.86%","14","18","85.71%"," 00:01:59","1.13",
206,"http://www.1010jiajiao.com/qx_portal/doc/601583.html","16","13","10","76.92%","13","19","92.86%"," 00:03:27","1.19",
207,"http://www.1010jiajiao.com/qx_portal/doc/780146.html","15","13","9","69.23%","14","18","84.62%"," 00:02:51","1.2",
208,"http://www.1010jiajiao.com/qx_portal/doc/968309.html","15","15","13","86.67%","15","21","80%"," 00:04:42","1.4",
209,"http://www.1010jiajiao.com/qx_portal/doc/780427.html","15","12","10","83.33%","12","16","92.86%"," 00:03:40","1.07",
210,"http://www.1010jiajiao.com/qx_portal/doc/795326.html","15","14","10","71.43%","14","16","93.33%"," 00:02:12","1.07",
211,"http://www.1010jiajiao.com/qx_portal/doc/663317.html","15","13","11","84.62%","13","16","92.86%"," 00:02:01","1.07",
212,"http://www.1010jiajiao.com/qx_portal/doc/654002.html","15","14","12","85.71%","9","15","100%"," 00:03:50","1",
213,"http://www.1010jiajiao.com/qx_portal/doc/775564.html","15","15","14","93.33%","15","16","92.86%"," 00:02:33","1.07",
214,"http://www.1010jiajiao.com/qx_portal/doc/68072.html","15","13","10","76.92%","13","16","93.33%"," 00:02:32","1.07",
215,"http://www.1010jiajiao.com/qx_portal/doc/549782.html","15","12","9","75%","12","18","85.71%"," 00:01:55","1.2",
216,"http://www.1010jiajiao.com/qx_portal/doc/147567.html","15","14","14","100%","14","18","78.57%"," 00:07:15","1.2",
217,"http://www.1010jiajiao.com/qx_portal/doc/741329.html","15","15","14","93.33%","15","15","100%"," 00:01:59","1",
